name,total,property,tax,corruption,mining,lobbyist,union,fraud,source,leak,opposition,faction,foreign investment,declaration,proposal,donation,incident
Amanda-Sue Markham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeron Blundell-Camden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Rivish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Tudge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelo Tsirekas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Bhathal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur Chesterfield-Evans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ann Sudmalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Cupper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanda Rishworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aoife Champion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Winmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Moroney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernie Gesling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bert van Manen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bibe Roadley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Gissane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Rundell,92,34,35,0,36,1,47,7,47,0,1,7,38,17,0,0,1
Adam Bandt,43,1,25,0,24,0,1,0,4,0,30,0,1,0,24,0,0
Adrian Van Der Byl,32,22,32,0,19,0,29,0,30,1,0,0,29,14,0,0,1
Abigail Boyd,71,30,37,2,24,0,45,3,38,4,1,0,37,16,1,4,6
Barbara Bloch,139,41,46,2,37,0,67,3,76,4,1,11,63,19,1,1,6
Allistair Smith,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Alex Breskin,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Anne Aly,111,38,75,3,37,0,60,2,65,1,19,1,50,21,2,0,1
Amanda Cohn,168,87,50,1,40,0,61,8,54,1,1,1,46,19,0,3,3
Andrea Broadfoot,2,2,2,1,1,1,2,1,1,0,0,0,0,0,1,1,2
Anita Donlon,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0
Andrew Nikolic,68,25,34,1,29,1,35,6,39,0,4,1,36,15,3,0,3
Alice Mantel,23,9,10,0,10,0,15,0,11,0,0,1,12,6,0,0,0
Alan Lappin,49,22,41,2,21,0,38,15,41,1,5,1,24,14,4,0,3
Andrew Woodward,308,67,89,22,79,1,140,26,123,15,31,32,100,38,17,9,24
Anne Charlton,154,47,85,7,47,1,102,19,87,7,2,7,54,27,9,2,9
Adrian Jones,1253,445,571,151,146,6,376,93,583,20,168,49,248,90,136,24,342
Andrew Wallace,1077,177,258,101,131,4,395,91,371,31,105,46,191,116,83,22,91
Alice Barnes,364,94,143,9,50,1,160,31,141,7,4,17,73,32,18,8,41
Anthony Albanese,86,14,26,8,36,0,32,2,41,3,14,4,31,8,6,0,5
Andrea Leong,99,37,47,2,33,1,51,11,53,4,2,0,44,15,0,4,6
Angus Taylor,446,67,128,13,80,0,175,33,153,12,36,15,87,31,82,9,13
Andrew Punch,524,212,241,207,151,9,315,166,302,32,259,111,227,117,218,17,119
Anne Stanley,944,179,222,87,146,13,333,99,338,36,81,52,195,95,97,26,102
Annie Wright,554,106,158,20,50,2,197,38,172,5,6,4,73,36,28,8,17
Andrew Hastie,47,12,10,0,11,0,16,1,24,0,0,6,13,3,1,1,2
Andrew Laming,2,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0
Andrew Gee,339,118,116,41,69,37,184,27,169,2,82,11,140,37,76,1,59
Andrew Wilkie,154,41,89,3,67,0,66,4,76,2,55,3,53,18,23,1,6
Brad Tassell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony O'Neill,549,85,186,56,118,1,208,22,203,16,59,67,116,55,60,11,40
Anthony Byrne,447,75,210,6,61,2,254,28,221,7,8,7,89,25,88,8,84
Archie Lea,64,31,40,1,34,1,47,8,48,0,1,0,38,15,1,1,2
Ben Morton,485,123,145,12,83,1,205,72,191,6,31,20,117,31,14,4,22
