name,total,property,tax,corruption,mining,lobbyist,union,fraud,source,leak,opposition,faction,foreign investment,declaration,proposal,donation,incident
Adam Washbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur Sinodinos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Gallacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annette Lourigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catriona Thoolen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronwyn Gallacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aidan Dalgliesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concetta Fierravanti-Wells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catryna Bilyk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruce Relph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derryn Hinch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eve Slavich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Pennings,6,2,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0
Eric Abetz,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
Anne McEwen,40,12,17,0,10,1,25,6,20,3,0,0,16,2,0,0,1
Ange Johnston,19,5,12,2,2,0,11,3,12,1,2,1,11,2,1,1,2
Anne Ruston,43,30,34,0,34,0,42,1,32,2,0,1,34,21,1,1,2
Elise Klein,45,12,22,2,2,1,20,2,12,2,1,0,14,1,1,3,4
Anthony Chisholm,180,38,88,2,41,1,107,16,98,4,3,6,57,26,1,4,6
Cory Bernardi,13,5,5,3,3,0,4,1,3,4,2,1,4,3,0,3,4
Anna Crabb,21,6,11,1,4,0,16,1,10,3,1,0,11,2,0,1,5
Anthony Hardwick,82,30,50,1,25,1,42,5,42,3,1,0,34,16,0,6,6
Andrew Bartlett,238,67,101,7,64,5,131,25,132,6,17,7,74,23,10,6,12
Chris Ketter,50,29,41,0,31,1,40,6,42,1,0,0,34,14,0,0,1
Cameron Curtis,613,99,163,25,75,0,239,27,182,12,17,18,109,42,26,9,28
David Bushby,34,20,29,0,24,0,31,0,27,0,0,0,27,18,0,0,1
Hans Willink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anne Urquhart,64,14,21,1,7,0,24,2,39,0,0,2,25,0,1,1,1
Anna Reynolds,722,97,133,21,64,2,191,34,186,5,12,11,96,30,18,13,17
Bridget McKenzie,97,38,57,3,36,1,66,14,67,2,7,3,39,17,2,3,4
George Brandis,29,6,25,1,8,0,8,1,25,0,19,0,8,8,1,1,1
Dean Mackin,138,31,72,0,35,0,73,13,91,2,0,4,43,16,0,1,2
Bernard Gaynor,58,19,20,1,13,1,25,6,22,2,1,1,17,1,0,4,4
Christina Hobbs,144,40,50,4,38,1,65,6,55,4,1,9,51,22,8,6,6
Cheryl Thompson,516,91,115,13,66,2,180,51,155,12,14,26,100,37,18,12,20
Barry O'Sullivan,137,37,53,2,46,0,63,1,65,0,1,10,55,19,1,2,3
Brian Burston,36,21,31,3,21,0,31,0,30,1,3,0,34,14,0,0,1
Deb Cotter,116,36,76,0,28,0,68,13,95,2,0,5,52,16,0,2,3
Fiona Nash,76,53,57,40,38,1,64,46,59,0,40,39,57,25,39,2,27
Don Farrell,435,86,145,19,67,2,170,36,167,11,26,26,98,41,26,6,27
David Fawcett,196,43,88,1,56,1,98,16,118,1,7,7,60,23,7,2,3
Damon Adams,350,73,85,5,59,1,116,12,117,9,1,9,75,25,10,6,15
Debbie Robinson,269,67,122,6,50,3,135,29,122,8,3,9,75,30,9,7,16
Deborah O'Neill,268,71,111,8,46,0,133,16,137,7,3,15,80,28,17,7,13
David Smith,12002,1815,2544,1335,1337,101,3763,1098,4486,379,2038,551,1803,853,1931,127,1375
Bob Davis,1762,289,322,75,244,19,491,104,520,43,113,40,212,72,188,29,170
Cameron Hickey,220,43,97,3,44,0,117,18,127,23,23,9,62,18,20,4,25
Daniel Baker,2737,499,729,346,570,8,1128,198,1231,88,710,105,697,287,607,49,508
Jody Moate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
